"","PROPERTY.GROUP","last_violation","gap","n_serious_violations_year","n_evictions","last_year_serious","n_serious_violations","ID","VIOLATION.LAST.MODIFIED.DATE","VIOLATION.DATE","VIOLATION.CODE","VIOLATION.STATUS","VIOLATION.STATUS.DATE","VIOLATION.DESCRIPTION","VIOLATION.LOCATION","VIOLATION.INSPECTOR.COMMENTS","VIOLATION.ORDINANCE","INSPECTOR.ID","INSPECTION.NUMBER","INSPECTION.STATUS","INSPECTION.WAIVED","INSPECTION.CATEGORY","DEPARTMENT.BUREAU","ADDRESS","STREET.NUMBER","STREET.DIRECTION","STREET.NAME","STREET.TYPE","SSA","LATITUDE","LONGITUDE","LOCATION","street","serious","violation_year"
"959",20008,"2021-07-28",NA,7,31,"2021-07-28",22,2146927,"2007-08-13","2007-07-05","CN197019","OPEN",NA,"INSTALL SMOKE DETECTORS",NA,"1ST FLOOR LAUNDRY ROOM / MISSING SMOKE DETECTOR.","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","BL00876",1871065,"FAILED","N","PERIODIC","CONSERVATION","6739 S JEFFERY BLVD",6739,"S","JEFFERY","BLVD",NA,41.772289232,-87.576315873,"(41.77228923232464, -87.57631587256425)","S JEFFERY BLVD","Y",2007
"960",20009,"2023-06-14",NA,10,55,"2023-06-14",38,1491078,"2008-01-31","2006-05-04","CN070024","COMPLIED","2008-01-04","REPAIR PORCH SYSTEM",NA,"MISSING STEP 7TH FLOOR ROOFTOP EXTERIOR STAIR SYSTEM.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00444",1945449,"FAILED","N","PERIODIC","CONSERVATION","6749 S JEFFERY BLVD",6749,"S","JEFFERY","BLVD",NA,41.772005705,-87.576308701,"(41.772005704702764, -87.5763087006452)","S JEFFERY BLVD","Y",2006
"961",20010,"2022-03-29",NA,5,1,"2022-03-29",13,3380369,"2010-05-20","2010-01-22","CN067014","COMPLIED","2010-05-19","REPAIR ROOF","INTERIOR:001 :","2006 1ST FLOOR BEAUTY SHOP WITH RAIN WATER DAMAGE ON PLASTER CEILING AT MULTIPLE LOCATIONS DUE TO LEAKY ROOF","Failed to maintain roof in sound condition and repair, watertight and free from defects.  (13-196-530, 13-196-530(c) and 13-196-641)","BL00810",9831408,"FAILED","N","COMPLAINT","CONSERVATION","2006 E 71ST ST",2006,"E","71ST","ST",42,41.766356509,-87.575989995,"(41.7663565085852, -87.57598999470463)","E 71ST ST","Y",2010
"962",20011,"2022-01-28",NA,13,84,"2022-01-28",58,2972779,"2009-03-03","2008-12-18","CN015062","OPEN",NA,"OBSTRUCTIONS IN EXIT WAY",NA,"2141/1,2 OR 3 AND 2139/3 AND 2141/BASEMENT ENTRY DOORS WITH BURGLAR AND STORM DOORS","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00941",1418108,"FAILED","N","PERIODIC","CONSERVATION","2139 E 67TH ST",2139,"E","67TH","ST",NA,41.773379867,-87.572512686,"(41.77337986702348, -87.57251268587174)","E 67TH ST","Y",2008
"963",20012,"2023-07-06",NA,9,22,"2023-07-06",50,1493772,"2006-07-18","2006-05-05","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"REAR PORCH SYSTEM - NO METAL HANGERS ON FLOOR JOIST NO METAL STRAPS ON BEAMS NO JAS BOLTS ON COLUMNS.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00876",1510423,"FAILED","N","PERIODIC","CONSERVATION","2136 E 68TH ST",2136,"E","68TH","ST",NA,41.77178425,-87.572553736,"(41.77178424986189, -87.57255373576207)","E 68TH ST","Y",2006
"964",20018,"2022-08-25",NA,7,38,"2022-08-25",20,1596710,"2006-08-24","2006-08-10","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"6911 S. MERRILL - MISSING SECTION OF HANDRAIL AT GRADE.  CRACKED BROKEN TREADS.   NO JOIST HANGERS.  GUARDRAILS TOO LOW WITH BROKEN COMPONENTS.  DECKING ROTTED.  6909 S. MERRILL OPEN BEAM POCKETS.  NO BOLTED CONNECTIONS.  UNEVEN STEPS.  NO BOLTS AT LEDGER BOARDS.  MISSING PICKET DANGEROUS AND HAZARDOUS.  6907 S. MERRILL - ALL COMPONENTS ROTTED.  BROKEN TREADS.  LOOSE CONNECTIONS AT GUARD RAILS.  NO BOLTED CONNECTIONS.  6901-03 S. MERRILL  NO JOIST HANGERS.   HANDRAILS TOO LOW 42"" REQUIRED LOOSE TREADS AND RISERS.  JOISTS UNDERSIZED.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00804",1539287,"FAILED","N","PERIODIC","CONSERVATION","6901 S MERRILL AVE",6901,"S","MERRILL","AVE",NA,41.769753236,-87.572582586,"(41.769753236036166, -87.57258258605172)","S MERRILL AVE","Y",2006
"965",20019,"2023-10-20",NA,7,8,"2023-10-20",22,1955615,"2007-10-15","2007-03-28","CN070024","COMPLIED","2007-10-05","REPAIR PORCH SYSTEM",NA,"NORTH ELEVATION, 2 WOOD PORCHES VIEWED FROM ALLEY AT LOCKED GATE. COLUMNS MISSING FOUNDATIONS AND STEEL SHOE. BEAM-COLUMN CONNECTIONS MISSING BOLTS. NORTH ELEVATION EAST PORCH 3RD LEVEL, COLUMN AND BEAM ROTTED. 1 WOOD PORCH AT EAST ELEVATION, VIEWED FROM ALLEY AT LOCKED GATE. COLUMNS MISSING FOUNDATIONS, STRINGERS MISSING BOLT CONNECTIONS TO MASONRY WALLS. CONDITION OF MOST PORCH MEMBERS UNDETERMINABLE FROM DISTANCE VIEWED. OBTAIN PLANS AND PERMIT.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00275",1945800,"PASSED","N","PERIODIC","CONSERVATION","6949 S MERRILL AVE",6949,"S","MERRILL","AVE",NA,41.768393717,-87.572543378,"(41.76839371713743, -87.57254337788093)","S MERRILL AVE","Y",2007
"966",20020,"2023-09-21",NA,8,28,"2023-09-21",41,6585981,"2021-03-29","2021-03-29","CN106015","OPEN",NA,"REPAIR INTERIOR STAIR SYSTEM","OTHER   :    :OTHER","2141 E./ INTERIOR STAIRS FROM GRADE TO 1ST FLOOR - STAIRS CASE NOT LEVEL AND LEANING; RISER HEIGHTS UNDERSIZED AND INCONSISTANT.","Failed to maintain interior stairway system in safe condition and sound repair. (13-196-570)","60527",13537141,"FAILED","N","COMPLAINT","CONSERVATION","2141 E 70TH ST",2141,"E","70TH","ST",42,41.767910615,-87.572278657,"(41.76791061511688, -87.57227865714772)","E 70TH ST","Y",2021
"967",20021,"2021-06-02",NA,5,15,"2021-06-02",10,2878148,"2008-12-30","2008-12-30","CN132016","OPEN",NA,"HEAT UNIT ADEQUATELY",NA,"7031 / ROOM TEMPERATURE IS 62 F. HEATING SYSTEM IS ON AT TIME OF INSPECTION. HEAT IS INSUFFICIENT.","Heat dwelling unit adequately from September 15th to June 1st. (13-196-410)","BL00275",2417200,"FAILED","N","COMPLAINT","CONSERVATION","7031 S MERRILL AVE",7031,"S","MERRILL","AVE",42,41.767120384,-87.572514919,"(41.767120383631685, -87.57251491891947)","S MERRILL AVE","Y",2008
"968",20022,"2022-10-25",NA,9,48,"2022-10-25",48,1547080,"2007-09-13","2006-07-24","CN105085","COMPLIED","2007-07-31","PROVIDE DEADLOCK FOR ENTRANCE",NA,"ALL EXTERIOR DOOR LATCHING DEVICES INOPERATIVE","Failed to provide and install building entrance door with deadlock latch with at least a 1/2 inch latch bolt projection for multi-unit residential buildings without an attendant being continuously on duty.  (13-164-040)","BL00949",1527062,"FAILED","N","PERIODIC","CONSERVATION","2125 E 67TH ST",2125,"E","67TH","ST",NA,41.773376976,-87.572971749,"(41.77337697573371, -87.57297174908474)","E 67TH ST","Y",2006
"969",20023,"2022-03-23",NA,8,19,"2022-03-23",25,1899057,"2007-03-01","2007-02-17","CN070034","OPEN",NA,"REPLACE D&H PORCH",NA,"2122, REAR PORCH: CRACKED STRINGERS, GUARDRAILS 3 FEET, MISSING FASTENERS, EXCESSIVE PAINT ON PORCH, INSPECTOR CANNOT DETERMINE ACTUAL CONDITIONS OF PORCH, REPLACE PORCH; PLANS AND PERMITS REQUIRED","Failed to rebuild or replace dilapidated and dangerous porch.  (13-196-570, 13-196-641)","BL00754",1135927,"FAILED","N","PERIODIC","CONSERVATION","2116 E 68TH ST",2116,"E","68TH","ST",NA,41.77177765,-87.573268394,"(41.77177764963185, -87.57326839367694)","E 68TH ST","Y",2007
"970",20024,"2023-10-05",NA,7,2,"2023-10-05",17,3092869,"2009-11-17","2009-04-13","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",":    :","THREE REAR PORCHES ARE MISSING JOIST HANGERS IMPROPER FOOTING STRINGERS AND NEWLS NO BOLTS,COLUMNS STACKED,MISSING BRACKET AT BEAM TO COLUMN CONNECTION LEDGERS NO BOLTS 2121 ROTTEN DECKING AT 1ST JOIST OVER SPANED,OBTAIN PLANS AND PERMIT FOR REPAIRS","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00688",2648341,"FAILED","N","PERIODIC","CONSERVATION","2117 E 68TH ST",2117,"E","68TH","ST",NA,41.771558148,-87.573263323,"(41.77155814781524, -87.57326332262325)","E 68TH ST","Y",2009
"971",20025,"2022-11-30",NA,6,14,"2022-11-30",22,2685330,"2008-09-16","2008-06-23","CN015062","OPEN",NA,"OBSTRUCTIONS IN EXIT WAY",NA,"REAR GATE PADLOCKED.","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00354",2168788,"FAILED","N","PERIODIC","CONSERVATION","2114 E 69TH ST",2114,"E","69TH","ST",NA,41.76994489,-87.573302298,"(41.769944890068366, -87.57330229806685)","E 69TH ST","Y",2008
"972",20026,"2023-11-21",NA,7,14,"2023-11-21",33,1541279,"2008-02-15","2006-07-17","CN070034","OPEN",NA,"REPLACE D&H PORCH",NA,"7004 REAR PORCH GRADE TO 3RD FLOOR LANDINGS AND PORCH SHAKES WITH WEIGHT ON IT BADLY ALL RAILING VERTICAL SOME MISSING AND LOOSE RAILINGS PORCH POSTED","Failed to rebuild or replace dilapidated and dangerous porch.  (13-196-570, 13-196-641)","BL00444",2220550,"FAILED","N","PERIODIC","CONSERVATION","2115 E 70TH ST",2115,"E","70TH","ST",42,41.767901668,-87.573248009,"(41.76790166822965, -87.57324800879539)","E 70TH ST","Y",2006
"973",20027,"2021-06-28",NA,6,33,"2021-06-28",19,3298270,"2009-10-28","2009-10-28","CN197019","OPEN",NA,"INSTALL SMOKE DETECTORS","INTERIOR:-3  :301","MISSING","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","BL00876",1869320,"FAILED","N","PERIODIC","CONSERVATION","7048 S MERRILL AVE",7048,"S","MERRILL","AVE",42,41.766629917,-87.57279722,"(41.766629917406156, -87.57279722009655)","S MERRILL AVE","Y",2009
"974",20028,"2022-03-17",NA,4,1,"2022-03-17",9,5309092,"2016-02-03","2016-02-03","CN062024","OPEN",NA,"PARAPET","OTHER   :    :","EAST, WEST AND SOUTH ELEVATION PARAPET WALLS - WASHED OUT MORTAR.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL01004",11773579,"FAILED","N","COMPLAINT","CONSERVATION","2114 E 71ST ST",2114,"E","71ST","ST",42,41.766379129,-87.57320428,"(41.766379128818976, -87.57320427952746)","E 71ST ST","Y",2016
"975",20035,"2023-07-21",NA,7,42,"2023-07-21",10,4591289,"2013-11-05","2013-11-05","CN197079","OPEN",NA,"REPAIR/REPLACE SMOKE DETECTORS","INTERIOR:001 :","#2352 - INTERIOR STAIRWELL/1ST FLOOR- SMOKE DETECTOR - NOT WORKING AT TIME OF INSPECTION; BEEPING","Repair or replace defective or out of service smoke detectors and operate continuously. (13-196-130, 13-196-140)","BL01000",11028706,"FAILED","N","COMPLAINT","CONSERVATION","2358 E 70TH ST",2358,"E","70TH","ST",NA,41.768177379,-87.567427611,"(41.76817737937748, -87.56742761109814)","E 70TH ST","Y",2013
"976",20040,"2023-10-20",NA,12,51,"2023-10-20",59,1430536,"2020-12-30","2006-04-25","CN101015","COMPLIED","2020-12-22","REPAIR INTERIOR WALLS/CEILING",NA,"6816 AT 1 AND 2 HOLES IN WALLS","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL00309",1413543,"FAILED","N","PERIODIC","CONSERVATION","6814 S OGLESBY AVE",6814,"S","OGLESBY","AVE",NA,41.77122532,-87.568427826,"(41.7712253196038, -87.56842782597438)","S OGLESBY AVE","Y",2006
"977",20042,"2023-10-17",NA,10,57,"2023-10-17",41,1779835,"2006-12-07","2006-12-05","CN132016","OPEN",NA,"HEAT UNIT ADEQUATELY",NA,"APARTMENT 3A 65.6 DEGREES, APARTMENT 1B 66.4 DEGREES","Heat dwelling unit adequately from September 15th to June 1st. (13-196-410)","BL00447",1610385,"FAILED","N","COMPLAINT","CONSERVATION","6920 S OGLESBY AVE",6920,"S","OGLESBY","AVE",NA,41.769226744,-87.568371929,"(41.76922674423737, -87.56837192860893)","S OGLESBY AVE","Y",2006
"978",20044,"2021-06-21",NA,5,1,"2021-06-21",13,2660605,"2008-08-27","2008-06-12","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"REAR PORCHES (4) IMPROPER UPRIGHT CONNECTIONS, JOIST OVERSPANNED AND SAGGING AT MIDDLE, IMPROPER UPRIGHT SPLICES, UPRIGHT TWISTING, PLANS AND PERMITS REQUIRED FOR REPAIRS.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00883",2265869,"FAILED","N","PERIODIC","CONSERVATION","2326 E 70TH PL",2326,"E","70TH","PL",NA,41.767246671,-87.568717474,"(41.767246670994524, -87.56871747407757)","E 70TH PL","Y",2008
"979",20046,"2023-10-24",NA,13,33,"2023-10-24",57,1509554,"2009-02-27","2006-07-19","CN070034","COMPLIED","2009-01-06","REPLACE D&H PORCH",NA,"3 PORCHES @ NORTH ELEVATION, 3 PORCHES @ SOUTH ELEVATION AND 3 PORCHES @ COURT YARD ALL THE 9 EXISTING PORCHES MUST BE COMPLETELY REPLACED DANGEROUS AND DILAPIDATE PORCHES VERY WOBBLY, MISSING CARRIAGE BOUT SUPPORT COLUMNS NOT SECURE TO BEAMS COLUMNS NOT PROPERLY INSTALLED JOIST BEAMS UNDERSIZED, THE DECK BOARD NOT CLOSELY ATTACHED TO JOISTS FIRE CUT ROTTED, MISSING LOOSE RAIL @ VARIOUS LOCATION","Failed to rebuild or replace dilapidated and dangerous porch.  (13-196-570, 13-196-641)","BL00941",1515507,"FAILED","N","PERIODIC","CONSERVATION","6715 S PAXTON AVE",6715,"S","PAXTON","AVE",NA,41.773017884,-87.571450797,"(41.773017884027816, -87.57145079738086)","S PAXTON AVE","Y",2006
"980",20048,"2022-08-30",NA,15,65,"2022-08-30",78,1329095,"2006-07-22","2006-03-10","CN070034","OPEN",NA,"REPLACE D&H PORCH",NA,"ROTTED BEAMS PULLING AWAY - COLUMNS SCABBED JOINTS AT 6755 AND 2202 AND 04","Failed to rebuild or replace dilapidated and dangerous porch.  (13-196-570, 13-196-641)","BL00874",1449278,"FAILED","N","COMPLAINT","CONSERVATION","2202 E 68TH ST",2202,"E","68TH","ST",NA,41.771790397,-87.571402718,"(41.77179039708207, -87.57140271818257)","E 68TH ST","Y",2006
"981",20049,"2023-06-06",NA,8,27,"2023-06-06",27,1535930,"2006-08-04","2006-04-26","CN197019","OPEN",NA,"INSTALL SMOKE DETECTORS",NA,"INTERIOR STAIRS DEFECTIVE DETECTORS","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","BL00873",1413197,"FAILED","N","PERIODIC","CONSERVATION","6811 S PAXTON AVE",6811,"S","PAXTON","AVE",NA,41.771307137,-87.571403005,"(41.77130713654013, -87.57140300537442)","S PAXTON AVE","Y",2006
"982",20052,"2022-05-23",NA,11,30,"2022-05-23",35,1797305,"2007-07-25","2006-12-09","CN015062","COMPLIED","2007-06-28","OBSTRUCTIONS IN EXIT WAY",NA,"SOUTH ELEVATION LOCKED GATE AT WALKWAY.","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00949",1618372,"FAILED","N","PERIODIC","CONSERVATION","2211 E 69TH ST",2211,"E","69TH","ST",NA,41.769748161,-87.571037071,"(41.76974816123662, -87.5710370707089)","E 69TH ST","Y",2006
"983",20053,"2023-09-06",NA,15,62,"2023-09-06",55,1445074,"2007-02-11","2006-05-05","CN104015","COMPLIED","2007-02-01","REPLCE WINDOW PANES, PLEXGLAS",NA,"SOUTH ELEVATION BROKEN GLASS BLOCKS","Replace broken, missing or defective window panes. (13-196-550 A)","BL00748",1495612,"FAILED","N","PERIODIC","CONSERVATION","6949 S PAXTON AVE",6949,"S","PAXTON","AVE",NA,41.7684057,-87.571320141,"(41.76840570036321, -87.57132014098393)","S PAXTON AVE","Y",2006
"984",20054,"2023-10-10",NA,4,1,"2023-10-10",8,5957773,"2019-07-15","2018-03-16","CN103015","COMPLIED","2019-07-15","REPAIR FLOOR","INTERIOR:001 :","7001 S. / APT - 1 / KITCHEN FLOOR - BROKEN AND MISSING TILES.","Failed to maintain floor free from holes and wide cracks and free from loose, warped, protruding or rotting floor boards.  (13-196-540(a) and (b))","371335",12578895,"FAILED","N","PERIODIC","CONSERVATION","2201 E 70TH ST",2201,"E","70TH","ST",42,41.76791992,-87.571372772,"(41.76791991972515, -87.57137277224486)","E 70TH ST","Y",2018
"985",20055,"2022-12-07",NA,6,7,"2022-12-07",24,2040101,"2007-06-08","2007-04-18","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"REAR PORCH AT 2200: WORN OUT TREADS, MISSING LAG BOLTS","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00435",1910949,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","2200 E 70TH PL",2200,"E","70TH","PL",42,41.767221416,-87.571350724,"(41.767221415833646, -87.57135072444518)","E 70TH PL","Y",2007
"986",20057,"2022-05-24",NA,7,3,"2022-05-24",39,3092254,"2012-04-04","2009-04-23","CN062024","COMPLIED","2012-04-04","PARAPET",NA,"EAST PARAPET WALL OPEN JOINTS.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL00444",2648340,"FAILED","N","PERIODIC","CONSERVATION","6800 S PAXTON AVE",6800,"S","PAXTON","AVE",NA,41.771585736,-87.571704121,"(41.771585735914236, -87.57170412065813)","S PAXTON AVE","Y",2009
"987",20059,"2023-08-01",NA,7,9,"2023-08-01",15,2458112,"2009-08-11","2008-03-11","CN015062","COMPLIED","2009-07-24","OBSTRUCTIONS IN EXIT WAY",NA,"LOCKED GATES.","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00444",2256716,"FAILED","N","PERIODIC","CONSERVATION","2148 E 69TH ST",2148,"E","69TH","ST",NA,41.769959708,-87.571995782,"(41.76995970773873, -87.57199578238884)","E 69TH ST","Y",2008
"988",20060,"2023-05-16",NA,5,51,"2023-05-16",12,1958943,"2008-04-30","2007-03-30","CN070024","COMPLIED","2008-03-06","REPAIR PORCH SYSTEM",NA,"6958 INTERIOR WOOD PORCH COLUMNS MISSING FOUNDATIONS JOISTS MISSING HANGERS GUARDRAILS BELOW 42' 3RD LEVEL GUARDRAIL LOOSE AND ROTTED GUARDRAILS MISSING BOLT AT MASONRY WALLS STRINGERS NOT BOLTED TO MASONRY 6954-56 PORCH COLUMNS MISSING FOUNDATIONS LEDGERS MISSING BOLTS JOISTS MISSING HANGERS BEAM COLUMN CONNECTIONS MISSING BOLTS COLUMN SPLICES TOE-NAILED GUARDRAILS BELOW 42' STAIR LEVEL 1-2 TREAD ROTTED WITH LARGE HOLE 6952-54 PORCH COLUMNS MISSING FOUNDATIONS LEDGERS MISSING BOLTS JOISTS MISSING HANGERS GUARDRAILS BELOW 42' 2ND LEVEL GUARDRAIL LOWER RAIL LOOSE AND ROTTED STRINGER NOT BOLTED TO MASONRY OBTAIN PLANS AND PERMIT","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00722",2081065,"FAILED","N","PERIODIC","CONSERVATION","6952 S PAXTON AVE",6952,"S","PAXTON","AVE",NA,41.768287731,-87.571610083,"(41.76828773068701, -87.57161008274215)","S PAXTON AVE","Y",2007
"989",20064,"2023-02-02",NA,5,181,"2023-02-02",10,3445427,"2010-03-25","2010-03-25","CN101015","OPEN",NA,"REPAIR INTERIOR WALLS/CEILING","OTHER   :    :INTERIOR UNITS AT 25TH AND 7TH FLOOR","REPAIR WALLS AND CEILINGS: (1) UNIT 25A AND 25K DRYWALL IS WATER DAMAGED, CRACKING AT VARIOUS LOCATIONS ALONG WALLS AND CEILINGS (2) UNIT 25A AND 25K CONCRETE INTERIOR WINDOW COLUMNS THE WATER HAS PENERATED AND HAS CAUSED THE CONCRETE TO CRACK AND SPALL IN UNITS (3) UNITS 25A AND 25K CEILING POPCORN PLASTER FINISH HAS FALLEN IN CERTAIN AREAS IN THE UNITS, MOSTLY ALONG WINDOW LOCATIONS AND IN BEDROOMS MORE TOWARDS THE CENTER OF ROOM (4) UNIT 25A AND 25K OUTLET HAS LARGE BULG ALONG WALL, OUTLET MAY BE WATER DAMAGED (5) UNIT 25A AND 25K CARPET IS DRY BUT WATER STAINED (6) UNIT 25A AND 25K AT DEMISING WALLS ALONG EDGES WHERE WALL MEETS INTERIOR WALL COLUMNS LARGE CRACKS HAVE DEVELOPED (7) UNIT 7A IN BEDROOM CEILING HAS WATER DAMAGE POPCORN PLASTER FINISH HAS CRACKED AND IS FLAKING OFF THE CEILING (8) UNIT 7A BEDROOM HAS MINOR DAMAGE AT BASE OF UNIT CARPET TO WINDOW BASE (9) OBTAIN PROPER PERMITS FOR REPAIRS","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL00903",1607256,"FAILED","N","PERIODIC","CONSERVATION","6700 S SOUTH SHORE DR",6700,"S","SOUTH SHORE","DR",NA,41.773438566,-87.566899306,"(41.77343856600946, -87.56689930583318)","S SOUTH SHORE DR","Y",2010
"990",20070,"2021-01-29",NA,7,78,"2021-01-29",22,2109052,"2008-06-30","2007-07-03","CN062024","COMPLIED","2008-05-16","PARAPET",NA,"OPEN JOINTS AT PARAPET WALL NORTH AT ROOF.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL00941",1944312,"FAILED","N","PERIODIC","CONSERVATION","6930 S SOUTH SHORE DR",6930,"S","SOUTH SHORE","DR",NA,41.76896052,-87.566670537,"(41.76896052011414, -87.56667053733712)","S SOUTH SHORE DR","Y",2007
"991",20071,"2022-05-10",NA,14,112,"2022-05-10",44,1754816,"2006-11-16","2006-11-12","PL154027","OPEN",NA,"SUPPLY HOT WTR MIN TEMP 120DEG",NA,"INSUFFICIENT HOT WATER APARTMENT 8B","Supply adequate hot water with minimum temperature of 120 degrees F. (13-196-430)","BL00254",1599033,"FAILED","N","COMPLAINT","CONSERVATION","2373 E 70TH ST",2373,"E","70TH","ST",NA,41.767962624,-87.566891362,"(41.76796262398819, -87.56689136234759)","E 70TH ST","Y",2006
"992",20072,"2021-12-28",NA,5,7,"2021-12-28",22,2013365,"2007-05-17","2007-05-09","CN197019","OPEN",NA,"INSTALL SMOKE DETECTORS",NA,"2203 E. 67TH ST APT. 2W MISSING SMOKE DETECTOR.","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","BL01005",1898311,"FAILED","N","COMPLAINT","CONSERVATION","2201 E 67TH ST",2201,"E","67TH","ST",NA,41.773392852,-87.571532788,"(41.77339285204316, -87.57153278803227)","E 67TH ST","Y",2007
"993",20074,"2023-09-15",NA,6,29,"2023-09-15",31,5010960,"2015-03-26","2015-03-26","CN104015","OPEN",NA,"REPLCE WINDOW PANES, PLEXGLAS","OTHER   :    :","2201 ENTRY DOOR SIDELITE - BROKEN GLASS PANE.","Replace broken, missing or defective window panes. (13-196-550 A)","BL01004",10906190,"FAILED","N","PERIODIC","CONSERVATION","2201 E 70TH PL",2201,"E","70TH","PL",42,41.767001909,-87.57134607,"(41.76700190873051, -87.57134606997158)","E 70TH PL","Y",2015
"994",20078,"2023-05-30",NA,4,6,"2023-05-30",10,3111277,"2009-09-18","2009-04-24","CN062024","COMPLIED","2009-09-17","PARAPET",NA,"ALL ELEVATION PARAPET WALL MORTAR MISSING NORTH WEST CORNER BUCKLING OUT.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL00444",2648306,"FAILED","N","PERIODIC","CONSERVATION","2217 E 70TH ST",2217,"E","70TH","ST",42,41.767925846,-87.570754424,"(41.76792584603914, -87.57075442398937)","E 70TH ST","Y",2009
"995",20080,"2023-02-16",NA,4,7,"2023-02-16",9,2223114,"2011-07-13","2007-08-08","CN070034","COMPLIED","2011-07-07","REPLACE D&H PORCH",NA,"2208 PORCH, NO FOOTING, NO LEDGER BOLTRS, RAILS IMPROPER HEIGHT, ROOF ROTTED, STRINGER ROTTED 4X4 UPRIGHTS BUTT JOINT AND ROTTED, 2212 A&B PORCH NO FOOTING, NO LEDGER BOLTS, 4X4 UPRIGHTS SCAB WORK, RAIL SUPPORT ON WALL ROTTED IMPROPER RAILHEIGHT, STRINGER ROTTED, REPLACED 4X4 WITH 6X6,DECKING DECK JOIST ROTTED AND SPLIT STAIR SYSTEM PULLING AWAY FROM WALL STRINGER IMPROPER PITCH RAIL SUPPORT COMING OFF WALL 2216 PORCH IMPROPER RAIL HEIGHT ROOF ROTTED NO LEDGER BOLTS NO JOIST HANGERS, SUBMIT PLANS AND PERMIT.","Failed to rebuild or replace dilapidated and dangerous porch.  (13-196-570, 13-196-641)","BL00444",1973540,"FAILED","N","PERIODIC","CONSERVATION","2208 E 70TH ST",2208,"E","70TH","ST",NA,41.768142343,-87.571067374,"(41.76814234281483, -87.57106737359976)","E 70TH ST","Y",2007
"996",20086,"2023-05-03",NA,12,13,"2023-05-03",47,1768292,"2006-11-29","2006-11-21","CN104015","OPEN",NA,"REPLCE WINDOW PANES, PLEXGLAS",NA,"NORTH WINDOW PANE BROKEN","Replace broken, missing or defective window panes. (13-196-550 A)","BL00444",1418110,"FAILED","N","PERIODIC","CONSERVATION","2015 E 67TH ST",2015,"E","67TH","ST",NA,41.773351448,-87.575837702,"(41.77335144789496, -87.5758377022885)","E 67TH ST","Y",2006
